company,srn,address,city,zip_code,pti_no.,approved,notes
"HOWARD FINISHING, LLC",B2363,32565 DEQUINDRE ROAD,MADISON HEIGHTS,48071,24-13,7/3/2013,
"HOWARD FINISHING, LLC",B2363,32565 DEQUINDRE ROAD,MADISON HEIGHTS,48071,24-13A,8/23/2013,Rolled into ROP
HOWARD PLATING INDUSTRIES,B2363,32565 DEQUINDRE ROAD,MADISON HEIGHTS,48071,460-97,11/18/1997,Rolled into ROP
HOWARD PLATING INDUSTRIES,B2363,32565 DEQUINDRE ROAD,MADISON HEIGHTS,48071,174-89A,11/26/1997,Rolled into ROP
HOWARD PLATING INDUSTRIES,B2363,32565 DEQUINDRE ROAD,MADISON HEIGHTS,48071,460-97A,5/5/1998,Rolled into ROP
COMMERCIAL STEEL TREATING,B5929,31440 STEPHENSON HIGHWAY,MADISON HEIGHTS,48071,160-15,11/20/2015,
SAINT JOHN MACOMB-OAKLAND,G5059,27351 DEQUINDRE ROAD - OAKLAND,MADISON HEIGHTS,48071,78-14,7/3/2014,
"SHANNON PRECISION FASTENERS, LLC",K2800,31600 STEPHENSON HIGHWAY,MADISON HEIGHTS,48071,170-05,8/19/2005,
"AACTRON, INC",N0072,29306 STEPHENSON HIGHWAY,MADISON HEIGHTS,48071,170-02,7/16/2002,General PTI
"AACTRON, INC",N0072,29306 STEPHENSON HIGHWAY,MADISON HEIGHTS,48071,140-16,9/22/2016,Revised
PREMIER PLATING,N2038,32370 HOWARD STREET - A DIVISION OF J,MADISON HEIGHTS,48071,84-16,8/15/2016,
"ELECTRO PLATING SERVICE, INC",N3023,945 E 10 MILE ROAD,MADISON HEIGHTS,48071,153-00,10/26/2000,
"DIAMABRUSH, LLC",N6434,32470 INDUSTRIAL DRIVE,MADISON HEIGHTS,48071,173-12,11/7/2012,General PTI
"STI PLATING, INC",N6660,395 W GIRARD AVENUE,MADISON HEIGHTS,48071,168-00,12/7/2000,
OAKLAND COUNTY DRAIN COMMISSIONER,N7153,12 MILE & JOHN ROADS,MADISON HEIGHTS,48071,314-01,6/26/2002,
PETERSON SPRINGS,N7318,32601 INDUSTRIAL DRIVE,MADISON HEIGHTS,48071,218-03,1/6/2004,
AJAXTOCCO MAGNETHERMIC,N8262,30100 STEPHENSON HIGHWAY,MADISON HEIGHTS,48071,74-09,5/11/2009,
"H R TECHNOLOGIES, INC",P0367,32500 N AVIS DRIVE,MADISON HEIGHTS,48071,115-12,10/24/2012,
"SPRAYTEK, INC",P0560,32451 N AVIS DRIVE,MADISON HEIGHTS,48071,166-14,11/21/2014,General PTI
"SPRAYTEK, INC",P0560,32451 N AVIS DRIVE,MADISON HEIGHTS,48071,186-14,11/21/2014,
"DESIGN FABRICATIONS, INC",P0586,1100 E MANDOLINE AVENUE,MADISON HEIGHTS,48071,49-15,4/24/2015,
"MOLD MASTERS INJECTIONEERING, LLC",P0609,29111 STEPHENSON HIGHWAY,MADISON HEIGHTS,48071,99-15B,12/18/2018,
CINTAS CORPORATION,P0694,31850 SHERMAN DRIVE,MADISON HEIGHTS,48071,84-18,10/19/2018,
GENERAL MOTORS CORPORATION,A5262,3300 GENERAL MOTORS ROAD - MILFORD,MILFORD,48380,481-97,10/27/1997,Rolled into ROP
GENERAL MOTORS CORPORATION,A5262,3300 GENERAL MOTORS ROAD - MILFORD,MILFORD,48380,10-07,1/8/2007,Rolled into ROP
GENERAL MOTORS CORPORATION,A5262,3300 GENERAL MOTORS ROAD - MILFORD,MILFORD,48380,97-12,7/11/2012,Rolled into ROP
GENERAL MOTORS CORPORATION,A5262,3300 GENERAL MOTORS ROAD - MILFORD,MILFORD,48380,194-12A,10/8/2014,Rolled into ROP
GENERAL MOTORS CORPORATION,A5262,3300 GENERAL MOTORS ROAD - MILFORD,MILFORD,48380,109-15,7/17/2015,Rolled into ROP
GENERAL MOTORS CORPORATION,A5262,3300 GENERAL MOTORS ROAD - MILFORD,MILFORD,48380,186-15,11/13/2015,Rolled into ROP
GENERAL MOTORS CORPORATION,A5262,3300 GENERAL MOTORS ROAD - MILFORD,MILFORD,48380,97-12A,1/22/2016,Rolled into ROP
GENERAL MOTORS CORPORATION,A5262,3300 GENERAL MOTORS ROAD - MILFORD,MILFORD,48380,85-18,8/28/2018,Rolled into ROP
DTE GAS COMPANY,B7221,3515 CHILDS LAKE ROAD - MILFORD,MILFORD,48381,209-16,1/26/2017,Rolled into ROP
DTE GAS COMPANY,B7221,3515 CHILDS LAKE ROAD - MILFORD,MILFORD,48381,185-15A,3/24/2017,
DTE GAS COMPANY,B7221,3515 CHILDS LAKE ROAD - MILFORD,MILFORD,48381,185-15B,9/30/2019,Rolled into ROP
ATLANTIC RICHFIELD COMPANY,N7847,101 E COMMERCE STREET,MILFORD,48381,259-07,8/2/2007,General PTI
"STERLING PERFORMANCE, INC",P0423,54420 PONTIAC TRAIL,MILFORD,48381,43-13B,5/20/2019,
ARCHITECTURAL DOOR & MILLWORK,N1513,30150 S HILL ROAD,NEW HUDSON,48165,59-06,3/7/2006,General PTI
ARCHITECTURAL DOOR & MILLWORK,N1513,30150 S HILL ROAD,NEW HUDSON,48165,61-07,2/27/2007,
HENROB CORPORATION,N2712,30000 S HILL ROAD,NEW HUDSON,48165,92-14,8/5/2014,
HENROB CORPORATION,N2712,30000 S HILL ROAD,NEW HUDSON,48165,94-13A,11/10/2015,
HENROB CORPORATION,N2712,30000 S HILL ROAD,NEW HUDSON,48165,177-15,11/10/2015,
HENROB CORPORATION,N2712,54900 GRAND RIVER AVENUE,NEW HUDSON,48165,162-16,1/24/2017,
CONTINENTAL ALUMINUM COMPANY,N6013,29201 MILFORD ROAD,NEW HUDSON,48165,504-96F,9/27/2013,
"MARTIN TECHNOLOGIES, INC",N7564,55390 LYON INDUSTRIAL DRIVE,NEW HUDSON,48165,352-05A,12/18/2019,
"GREAT LAKES CREMATION SERVICES, LLC",N8339,29547 COSTELLO DRIVE,NEW HUDSON,48165,232-09B,2/3/2012,
"GREAT LAKES CREMATION, INC",N8339,29547 COSTELLO DRIVE,NEW HUDSON,48165,61-15,4/17/2015,
AIS CONSTRUCTION EQUIPMENT,P0624,56555 PONTIAC TRAIL,NEW HUDSON,48165,188-15,11/16/2015,
"PERFORMANCE SPRINGS, INC",P0763,57575 TRAVIS ROAD,NEW HUDSON,48165,81-17,8/8/2017,
EXOTIC RUBBER & PLASTICS,P1091,53500 GRAND RIVER AVENUE,NEW HUDSON,48001,175-19,2/13/2020,
"U S ENERGY DISTRIBUTION, LLC",B2881,40600 GRAND RIVER AVENUE - NOVI,NOVI,48375,1140-92E,12/13/2021,
"GENERAL FILTERS, INC",B7018,43800 GRAND RIVER AVENUE,NOVI,48116,63-93A,2/27/1998,
"GENERAL FILTERS, INC",B7018,43800 GRAND RIVER AVENUE,NOVI,48376,179-01,7/19/2001,
TEMPERFORM CORPORATION,B7357,25425 TRANS-X ROAD,NOVI,48375,60-00B,7/1/2003,
"COMPAZO, INC",N1975,22500 HESLIP DRIVE,NOVI,48375,240-95D,11/2/2005,
"NOVI CRUSHED CONCRETE, LLC",N6573,46900 12 MILE ROAD,NOVI,48377,59-99A,12/1/2005,
EBERSPAECHER NORTH AMERICA,N6975,29101 HAGGERTY ROAD,NOVI,48377,127-01A,9/14/2011,
PROVIDENCE PARK HOSPITAL,N8273,47601 GRAND RIVER AVENUE,NOVI,48374,158-09,8/19/2009,
ITC HOLDINGS CORPORATION,N8312,27175 ENERGY WAY,NOVI,48377,189-09,8/20/2009,General PTI
ARAMCO SERVICES COMPANY,P0445,46535 PEARY COURT,NOVI,48377,81-13B,10/29/2015,
PREZIO HEALTH,P0772,30275 HUDSON DRIVE,NOVI,48377,198-16,12/21/2016,
"OAK PARK FAST TRACK, LLC",N8184,8600 W 9 MILE ROAD,OAK PARK,48237,364-08,11/24/2008,General PTI
"SPEEDWAY SUPERAMERICA, LLC",P0080,24771 COOLIDGE HIGHWAY - SSA #8814,OAK PARK,48237,171-10,8/23/2010,General PTI
"ALTA CREMATION & SERVICES, INC",P1145,13425 CAPITAL STREET,OAK PARK,48076,115-20,10/20/2020,
GENERAL MOTORS CORPORATION,B7227,4555 GIDDINGS ROAD - BOC,ORION,48359,208-80B,12/10/1997,Rolled into ROP
GENERAL MOTORS CORPORATION,B7227,4555 GIDDINGS ROAD - BOC,ORION,48359,197-99,9/1/1999,Rolled into ROP
GENERAL MOTORS CORPORATION,B7227,4555 GIDDINGS ROAD - BOC,ORION,48359,224-09,2/26/2010,Rolled into ROP
GENERAL MOTORS CORPORATION,B7227,4555 GIDDINGS ROAD - ORION ASSEMBLY,ORION,48359,224-09A,3/8/2013,Rolled into ROP
"GENERAL MOTORS, LLC",B7227,4555 GIDDINGS ROAD - ORION ASSEMBLY,ORION,48359,86-13,11/4/2013,Rolled into ROP
"GENERAL MOTORS, LLC",B7227,4555 GIDDINGS ROAD - ORION ASSEMBLY,ORION,48359,86-13A,5/30/2019,Rolled into ROP
AJAX MATERIALS CORPORATION,B1956,4875 BALD MOUNTAIN ROAD,ORION TOWNSHIP,48326,75-17,11/28/2017,
EAGLE VALLEY,N3845,600 W SILVER BELL ROAD,ORION TOWNSHIP,48359,91-20A,2/28/2022,
EAGLE VALLEY RECYCLE & DISPOSAL,N3845,600 W SILVER BELL ROAD,ORION TOWNSHIP,48359,91-20,4/19/2021,
"MAYZIE, INC dba PET PASSAGES",P1112,4577 LAPEER ROAD - UNIT I,ORION TOWNSHIP,48001,22-20,6/2/2020,
"RLM INDUSTRIES, INC",B7348,100 HUMMER LAKE ROAD,OXFORD,48371,24-86A,4/14/2014,
BARRON INDUSTRIES,N2631,215 PLEXUS DRIVE,OXFORD,48371,136-90A,4/16/2009,
TRI-CITY AGGREGATES,N6338,721 RAY ROAD,OXFORD,48371,146-00,5/17/2000,General PTI
TRI-CITY AGGREGATES,N6432,721 RAY ROAD,OXFORD,48371,147-00,5/17/2000,General PTI
"AMERICAN AGGREGATES OF MICHIGAN,",N7375,275 RAY ROAD,OXFORD,48371,158-04,6/24/2004,General PTI
"AMERICAN AGGREGATES OF MICHIGAN,",N7601,275 RAY ROAD,OXFORD,48371,115-06,4/13/2006,General PTI
"AMERICAN AGGREGATES OF MICHIGAN,",N7601,275 RAY ROAD,OXFORD,48371,73-20,6/24/2020,General PTI
"WEBER SAND & GRAVEL, INC",P0755,2651 METAMORA ROAD,OXFORD,48371,125-20,10/22/2020,
OAKLAND COUNTY WATER RESOURCES,B1950,155 N OPDYKE ROAD,PONTIAC,48342,195-15B,10/22/2021,
GENERAL MOTORS CORPORATION,B4032,823 JOSLYN AVENUE - PONTIAC NORTH,PONTIAC,48340,218-04A,5/9/2005,Rolled into ROP
GENERAL MOTORS CORPORATION,B4032,895 JOSLYN AVENUE,PONTIAC,48340,33-04B,5/28/2008,Rolled into ROP
GENERAL MOTORS CORPORATION,B4032,895 JOSLYN AVENUE,PONTIAC,48340,309-06A,12/11/2008,Rolled into ROP
"GENERAL MOTORS, LLC",B4032,220 E COLUMBIA AVENUE - PONTIAC,PONTIAC,48340,122-13,2/21/2014,Rolled into ROP
"GENERAL MOTORS, LLC",B4032,850 N GLENWOOD AVENUE - PONTIAC,PONTIAC,48340,33-04C,5/19/2016,Rolled into ROP
"GENERAL MOTORS, LLC",B4032,850 N GLENWOOD AVENUE - PONTIAC,PONTIAC,48340,124-16,9/30/2016,Rolled into ROP
"GENERAL MOTORS, LLC",B4032,850 N GLENWOOD AVENUE - PONTIAC,PONTIAC,48340,198-18,6/20/2019,Rolled into ROP
"AKZO COATINGS AMERICA, INC",B4145,120 FRANKLIN ROAD,PONTIAC,48341,184-06,8/18/2006,
"AKZO NOBEL COATINGS, INC",B4145,120 FRANKLIN ROAD,PONTIAC,48341,165-19,3/13/2020,
SAINT JOSEPH MERCY HOSPITAL,G5066,44405 WOODWARD AVENUE,PONTIAC,48341,216-07A,4/22/2014,Revised
OAKLAND COUNTY SERVICE CENTER,G5252,1200 N TELEGRAPH ROAD - CENTRAL,PONTIAC,48341,150-03,1/21/2004,
OAKLAND COUNTY SERVICE CENTER,G5252,1200 N TELEGRAPH ROAD - CENTRAL,PONTIAC,48341,180-16,2/10/2017,
PONTIAC OSTEOPATHIC HOSPITAL,M1968,50 N PERRY STREET,PONTIAC,48342,134-97,4/28/1997,
PONTIAC OSTEOPATHIC HOSPITAL,M1968,50 N PERRY STREET,PONTIAC,48342,45-98,4/23/1998,
CONOCOPHILIPS,N3156,625 ORCHARD LAKE ROAD,PONTIAC,48341,134-11,9/9/2011,General PTI
PERRY MOUNT PARK CEMETERY,N3768,878 N PERRY STREET,PONTIAC,48340,59-07,3/20/2007,
JOSEPH LUNGHAMER CHEVROLET,N3789,475 SUMMIT DRIVE,PONTIAC,48328,26-92A,8/31/2015,
TOTAL DOOR,N5076,6145 DELFIELD DRIVE,PONTIAC,48329,15-09A,6/15/2009,
DETROIT STEEL TREATING COMPANY,N5551,1631 HIGHWOOD EAST,PONTIAC,48340,46-18,7/18/2018,
HEAT TREATING SERVICES CORPORATION,N6726,915 CESAR E CHAVEZ AVENUE - PLANT 3,PONTIAC,48340,169-01C,12/3/2020,
HEAT TREATING SERVICES CORP OF,N7096,217 CENTRAL AVENUE - PLANT 1,PONTIAC,48341,176-01B,10/30/2013,
MICHIGAN BELL TELEPHONE COMPANY,N8013,54 N MILL STREET,PONTIAC,48342,81-08,4/3/2008,General PTI
"WOODWORTH, INC",P0420,500 CENTERPOINT PARKWAY NORTH,PONTIAC,48341,17-13,2/1/2013,General PTI
"WOODWORTH, INC",P0420,500 CENTERPOINT PARKWAY NORTH,PONTIAC,48341,55-13,4/11/2013,General PTI
"WOODWORTH, INC",P0420,500 CENTERPOINT PARKWAY NORTH,PONTIAC,48341,130-17,9/5/2017,General PTI
"WOODWORTH, INC",P0420,500 CENTERPOINT PARKWAY NORTH,PONTIAC,48341,197-18,5/10/2019,
OAKLAND COUNTY SERVICE CENTER,P0451,1200 N TELEGRAPH ROAD - CENTRAL,PONTIAC,48341,53-13,7/25/2013,
"MICHIGAN RECYCLED AGGREGATES, LLC",P0523,2100 S OPDYKE ROAD,PONTIAC,48341,87-14,7/1/2014,General PTI
"WILLIAMS INTERNATIONAL COMPANY, LLC",P0603,2000 CENTERPOINT PARKWAY,PONTIAC,48341,25-22,3/14/2022,
"SPEEDWAY SUPERAMERICA, LLC",P0714,547 N PERRY STREET - SSA #8821,PONTIAC,48342,118-16,7/20/2016,General PTI
UNIFIRST CORPORATION,P0758,1300 AUBURN ROAD,PONTIAC,48342,166-16B,4/10/2018,
UNITED SHORE FINANCIAL SERVICES,P0923,585 SOUTH BLVD EAST,PONTIAC,48341,89-18,6/29/2018,
"PAR STERILE PRODUCTS, LLC",B2329,870 PARKDALE ROAD,ROCHESTER,48307,73-21,9/30/2021,
"PARKEDALE PHARMACEUTICALS, INC",B8907,1200 PARKDALE ROAD,ROCHESTER,48307,319-07,9/27/2007,General PTI
OAKLAND UNIVERSITY,N3422,2200 N SQUIRREL ROAD,ROCHESTER,48309,419-92C,1/19/2016,
AJAX MATERIALS CORPORATION,B4137,2240 AVON INDUSTRIAL DRIVE,ROCHESTER HILLS,48309,720-89D,5/20/2005,
QUASAR INDUSTRIES,N1165,2687 COMMERCE DRIVE,ROCHESTER HILLS,48309,2-10,2/9/2010,
QUASAR INDUSTRIES,N1165,1911 NORTHFIELD DRIVE,ROCHESTER HILLS,48309,3-10,2/12/2010,
"WEBASTO SUNROOFS, INC",N1276,2700 PRODUCT DRIVE,ROCHESTER HILLS,48309,84-05,6/2/2005,
"WEBASTO SUNROOFS, INC",N1276,2700 PRODUCT DRIVE,ROCHESTER HILLS,48309,84-05A,12/19/2019,
"GREAT LAKES AGGREGATES, LLC",N1333,2240 AVON INDUSTRIAL DRIVE,ROCHESTER HILLS,48309,131-20,11/10/2020,General PTI
"GREAT LAKES AGGREGATES, LLC",N2627,2240 AVON INDUSTRIAL DRIVE,ROCHESTER HILLS,48309,214-05,8/18/2005,General PTI
"SPEEDWAY SUPERAMERICA, LLC",N5497,1010 ROCHESTER ROAD - SSA #8832,ROCHESTER HILLS,48307,126-11,9/2/2011,General PTI
LEAR CORPORATION dba EAGLE OTTAWA,N5677,2930 W AUBURN ROAD,ROCHESTER HILLS,48309,433-95C,8/10/2017,
PREFIX CORPORATION,N5848,1400 S LIVERNOIS ROAD,ROCHESTER HILLS,48307,18-22,2/16/2022,
PREFIX CORPORATION,N5848,1400 S LIVERNOIS ROAD,ROCHESTER HILLS,48307,20-22,2/22/2022,General PTI
PULTE CONSTRUCTION COMPANY,N6554,2695 CROOKS ROAD,ROCHESTER HILLS,48326,395-98,2/5/1999,
"LOWE'S HOME CENTERS, INC",N8139,3277 S ROCHESTER ROAD,ROCHESTER HILLS,48307,274-08,9/29/2008,General PTI
"SPEEDWAY SUPERAMERICA, LLC",P0007,2255 CROOKS ROAD - SSA #2238,ROCHESTER HILLS,48309,271-09,11/23/2009,General PTI
PREFIX CORPORATION,P0204,1601 W HAMLIN ROAD,ROCHESTER HILLS,48309,73-15,4/20/2015,
PREFIX CORPORATION,P0204,1601 W HAMLIN ROAD,ROCHESTER HILLS,48309,68-15,4/21/2015,General PTI
HEWLETT PACKARD ENTERPRISES,P0292,1872 ENTERPRISE DRIVE,ROCHESTER HILLS,48309,161-11,11/1/2011,
HENRY FORD HOSPITAL SYSTEM,P0530,2571 PRODUCT DRIVE,ROCHESTER HILLS,48309,97-14,9/10/2014,Revised
OTTO BOCK POLYURETHAN,P0583,2923 TECHNOLOGY DRIVE,ROCHESTER HILLS,48309,207-14A,8/12/2015,
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,33-01,6/26/2002,Rolled into ROP
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,247-97B,6/26/2002,Rolled into ROP
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,14-78C,6/26/2002,Rolled into ROP
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,874-90C,6/26/2002,Rolled into ROP
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,205-02,4/1/2003,Rolled into ROP
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,205-02A,10/29/2003,Rolled into ROP
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,180-12,1/14/2013,Rolled into ROP
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,205-02B,7/18/2013,Rolled into ROP
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,180-12A,12/20/2013,Rolled into ROP
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,205-02C,2/26/2014,Rolled into ROP
WILLIAM BEAUMONT HOSPITAL,G5067,3601 W 13 MILE ROAD,ROYAL OAK,48073,95-19,7/19/2019,Rolled into ROP
DETROIT ZOOLOGICAL PARK,M4023,8450 W 10 MILE ROAD,ROYAL OAK,48067,148-16,11/22/2016,
"FAITHFUL COMPANION MEMORIALS, INC",N5753,4900 FERNLEE AVENUE,ROYAL OAK,48073,310-05D,10/18/2018,
"FAITHFUL COMPANION MEMORIALS, INC",N5753,4847 FERNLEE AVENUE,ROYAL OAK,48073,310-05E,6/10/2021,
VOGUE FURNITURE,N7485,2720 W 14 MILE ROAD,ROYAL OAK,48073,309-05,11/14/2005,General PTI
VOGUE FURNITURE,N7485,2720 W 14 MILE ROAD,ROYAL OAK,48076,42-06,7/3/2006,
MICHIGAN BELL TELEPHONE COMPANY,N8008,421 S WILLIAMS STREET,ROYAL OAK,48067,76-08,4/3/2008,General PTI
"SPEEDWAY SUPERAMERICA, LLC",P0424,4727 CROOKS ROAD - SSA #8841,ROYAL OAK,48073,37-13,3/4/2013,General PTI
"SUN COMPANY, INC",P0878,303 E 4TH STREET,ROYAL OAK,48067,209-98,7/31/1998,
SOUTHERN MICHIGAN CREMATION,P0932,4839 FERNLEE AVENUE,ROYAL OAK,48073,113-18A,4/1/2021,
"MICHIGAN SEAMLESS TUBE, LLC",A4741,400 MCMUNN STREET,SOUTH LYON,48178,599-96C,10/15/2012,
FEDERAL-MOGUL CORPORATION,A5098,26555 NORTHWESTERN HIGHWAY,SOUTHFIELD,48034,159-04,6/29/2004,General PTI
EATON CORPORATION,B2217,26201 NORTHWESTERN HIGHWAY,SOUTHFIELD,48076,328-97A,10/26/2006,
UNITED PAINT & CHEMICAL CORPORATION,B5779,24671 TELEGRAPH ROAD,SOUTHFIELD,48034,273-00,4/4/2001,
PROVIDENCE HOSPITAL,M1967,16001 W 9 MILE ROAD,SOUTHFIELD,48075,268-02,2/10/2003,
"DENSO INTERNATIONAL AMERICA, INC",N1127,24777 DENSO DRIVE,SOUTHFIELD,48034,452-85C,8/18/2016,
"X-CEL INDUSTRIES, INC",N6594,21121 TELEGRAPH ROAD,SOUTHFIELD,48034,260-98C,10/31/2014,
GREAT LAKES WATER AUTHORITY,N6622,20920 EAST STREET - WEST SERVICE,SOUTHFIELD,48075,230-99B,12/1/2008,
"IDEAL RECYCLING, INC",N7889,19300 W 8 MILE ROAD,SOUTHFIELD,48075,328-07,3/28/2008,
"MICHIGAN FUELS, INC",N7977,26355 TELEGRAPH ROAD,SOUTHFIELD,48034,37-08,2/8/2008,General PTI
MICHIGAN BELL TELEPHONE COMPANY,N8025,25189 LAHSER ROAD,SOUTHFIELD,48033,97-08,6/3/2008,
"MRP PROPERTIES, LLC",N8193,29030 NORTHWESTERN HIGHWAY,SOUTHFIELD,48034,368-08,12/1/2008,General PTI
"SPEEDWAY SUPERAMERICA, LLC",N8251,29020 SOUTHFIELD ROAD - SSA #8849,SOUTHFIELD,48076,63-12,5/15/2012,General PTI
"SPEEDWAY SUPERAMERICA, LLC",P0113,22599 TELEGRAPH ROAD - SSA #8852,SOUTHFIELD,48034,114-10,5/28/2010,General PTI
AT&T,P0233,23500 NORTHWESTERN HIGHWAY,SOUTHFIELD,48075,54-11,7/5/2011,
"WEBER SAND & GRAVEL, INC",P0539,21301 TELEGRAPH ROAD,SOUTHFIELD,48033,62-18,4/26/2018,
"CONTOUR DEVELOPMENT GROUP, LLC",P1247,21500 NORTHWESTERN HIGHWAY,SOUTHFIELD,48075,111-21,12/17/2021,
SCHENCK PEGASUS CORPORATION,A5135,2890 JOHN R ROAD,TROY,48083,491-96A,4/15/1998,
"CADILLAC ASPHALT, LLC",B4134,2040 BARRETT ROAD,TROY,48084,126-20,1/19/2021,
PENSKE VEHICLE SERVICES,B7161,1225 E MAPLE ROAD,TROY,48083,279-05A,8/16/2016,
WHITE CHAPEL MEMORIAL ASSOCIATION,M3429,621 W LONG LAKE ROAD,TROY,48098,62-12,7/30/2012,
PETER-LACKE USA,N1726,865 STEPHENSON HIGHWAY,TROY,48083,104-15,6/19/2015,
CONTROLLED POWER COMPANY,N1927,1955 STEPHENSON HIGHWAY,TROY,48083,129-15,7/31/2015,
"N D INDUSTRIES, INC",N2440,1893 BARRETT ROAD,TROY,48084,601-95B,7/24/2006,
MAPLE MACHINERY dba EQUIPMENT,N2460,835 STEPHENSON HIGHWAY,TROY,48083,167-13,11/25/2013,General PTI
IMBRANDED,N2528,500 W LONG LAKE ROAD,TROY,48098,13-22,2/10/2022,
"OERLIKON METCO (US), INC",N2785,1972 MEIJER DRIVE,TROY,48084,192-10A,1/11/2019,
FISCHER BODY REFINISHING,N2830,1759 MAPLELAWN DRIVE,TROY,48084,281-91A,3/7/2011,
WILLIAM BEAUMONT HOSPITAL,N3987,44201 DEQUINDRE ROAD,TROY,48098,261-03,1/27/2004,
WILLIAM BEAUMONT HOSPITAL,N3987,44201 DEQUINDRE ROAD,TROY,48098,7-16A,4/10/2018,
"SURFACE ACTIVATION TECHNOLOGIES,",N5637,1837 THUNDERBIRD,TROY,48084,65-14A,6/14/2016,
XRI TESTING,N5749,1961 THUNDERBIRD DRIVE,TROY,48084,318-06,11/14/2006,
GREAT LAKES WATER AUTHORITY,N6623,1850 SOUTH BLVD - NORTH SERVICE,TROY,48084,229-99B,12/1/2008,
NATIONAL TELEVISION BOOK COMPANY,N7097,209 PARK STREET,TROY,48083,15-02A,12/10/2004,
"DEPOR INDUSTRIES, INC",N7599,1902 NORTHWOOD DRIVE,TROY,48084,489-99E,1/31/2014,
SEARS HOLDINGS TECHNOLOGY CENTER,N7646,2240 CUNNINGHAM DRIVE,TROY,48084,235-06,8/8/2006,General PTI
AT&T,N8014,1145 ROCHESTER ROAD,TROY,48083,82-08,4/3/2008,General PTI
BEAUMONT INFORMATION TECHNOLOGY,P0243,1350 STEPHENSON HIGHWAY,TROY,48083,75-11,7/11/2011,
BEAUMONT INFORMATION TECHNOLOGY,P0243,1350 STEPHENSON HIGHWAY,TROY,48083,112-17,8/21/2017,
"2600 WBB, LLC",P0376,2600 W BIG WEAVER ROAD,TROY,48084,139-12,10/17/2012,
"INDEPENDENCE EXCAVATING, INC",P1005,I-75 & W BIG BEAVER ROAD,TROY,48001,46-19,3/19/2019,
"H A AUTOMOTIVE SYSTEMS, INC",P1222,1300 COOLIDGE HIGHWAY,TROY,48084,103-21,12/3/2021,
"FAITHFUL COMPANION MEMORIALS, INC",P1245,1909 THUNDERBIRD STREET,TROY,48073,19-22,2/16/2022,
"PRECISION COATINGS, INC",A5496,8120 GOLDIE STREET,WALLED LAKE,48390,154-18,1/29/2019,
WILLIAMS INTERNATIONAL COMPANY,B6415,2280 W MAPLE ROAD,WALLED LAKE,48390,254-03,1/16/2004,
WILLIAMS INTERNATIONAL COMPANY,B6415,2280 W MAPLE ROAD,WALLED LAKE,48390,515-93C,10/23/2013,
"DEDOES INDUSTRIES, INC",M4067,1060 W MAPLE ROAD,WALLED LAKE,48390,121-13,11/7/2013,
MAACO COLLISION REPAIR & AUTO,N7440,1625 E W MAPLE ROAD,WALLED LAKE,48390,65-05,3/17/2005,General PTI
"SPEEDWAY SUPERAMERICA, LLC",P0382,3490 E W MAPLE ROAD - SSA #8870,WALLED LAKE,48390,147-12,9/21/2012,General PTI
DRAYTON IRON & METAL COMPANY,B5465,5229 WILLIAMS LAKE ROAD,WATERFORD,48020,398-75A,3/3/2021,
HIGHWOOD DIE & ENGINEERING,N2112,5225 WILLIAMS LAKE ROAD,WATERFORD,48329,13-13A,7/29/2015,
"WOODSPECS, INC",N5094,2240 SCOTT LAKE ROAD,WATERFORD,48328,165-00,9/6/2000,
CITY ALUMINUM FOUNDRY,N6212,2505 WILLIAMS DRIVE,WATERFORD,48328,574-96,6/10/1997,
CITY ALUMINUM FOUNDRY,N6212,2505 WILLIAMS DRIVE,WATERFORD,48328,147-17,3/26/2018,
UNION LAKE VETERINARY HOSPITAL,N6494,1494 LOCHAVEN ROAD,WATERFORD,48327,183-09,9/30/2009,
A C TIRE & SERVICE CENTER,N7414,4099 RURAL STREET,WATERFORD,48329,252-04,12/6/2004,
CONOCO PHILLIPS COMPANY,N7551,3235 W WALTON BLVD,WATERFORD,48329,298-05,11/3/2005,General PTI
HEAT TREATING SERVICES CORP OF,P0236,2501 WILLIAMS DRIVE - PLANT 2,WATERFORD,48328,93-12A,11/16/2013,
GREAT LAKES WATER AUTHORITY,N7515,7404 INKSTER ROAD,WEST BLOOMFIELD,48301,109-06,5/24/2006,
MICHIGAN BELL TELEPHONE COMPANY,N8007,7020 MIDDLEBELT ROAD,WEST BLOOMFIELD,48322,75-08,4/3/2008,General PTI
